Product Name,Qty,Price,ModifiedDate,CreatedDate
"10 Foot D-ring buckle Yoga Strap",1,"$12.00","2/19/13 05:31 PM","1/03/13 10:59 AM"
"Brocade Weekender Mat Bag",0,"$45.00","2/25/13 06:49 PM","7/22/11 10:59 AM"
"Namaste Mini Flag",1,"$10.00","2/25/13 06:49 PM","7/19/11 03:27 PM"
"VSO Vermont Soap Organics Yoga Mat Cleaner Spray 16oz",0,"$10.00","3/01/13 01:05 PM","8/02/11 03:05 PM"
"Peruvian Necklace",10,"$25.00","3/08/13 11:58 AM","7/22/11 11:07 AM"
"LM Little Moon Essentials- Sleep Comes Easy Theramist",-2,"$7.00","3/12/13 06:19 PM","7/26/11 03:19 PM"
"Fitness Ball 75cm",0,"$20.00","3/17/13 12:27 PM","3/12/12 05:11 PM"
"Soft Yoga Block",1,"$10.00","3/26/13 03:56 PM","2/07/13 07:04 PM"
"AL Tea Tree/Lemon Shower Gel",4,"$10.00","4/03/13 05:12 PM","7/22/11 10:58 AM"
"LM Little Moon Essentials- Crampy  Belly Rub 2oz",2,"$15.00","4/07/13 11:08 AM","7/26/11 03:17 PM"
"Yoga Mat Harness Strap",0,"$12.00","4/07/13 12:55 PM","4/07/13 12:45 PM"
"Beige 1/4 inch alignment yoga mat",2,"$25.00","4/19/13 11:45 AM","5/04/12 06:05 PM"
"What We Say Matters by Judith Lasater",3,"$14.95","4/28/13 11:02 AM","5/19/12 05:03 PM"
"AL ""Buddha"" Room Spray",4,"$9.00","5/03/13 11:47 AM","7/22/11 10:53 AM"
"FF ""Live in the moment"" bracelet on cafe' leather",0,"$12.00","5/05/13 11:01 AM","10/27/11 04:00 PM"
"Golf Balls",31,"$0.25","5/11/13 12:00 PM","1/13/12 04:47 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","5/12/13 01:58 PM","3/07/12 11:19 AM"
"LM Little Moon Essentials- Small Sleep Comes Easy Salve",1,"$6.00","5/20/13 08:15 PM","7/26/11 03:46 PM"
"Carolyn Forsman Zen Bracelet",10,"$20.00","5/22/13 03:53 PM","5/22/13 03:53 PM"
"Hematite LOVE necklace",0,"$10.50","5/22/13 03:53 PM","7/22/11 11:06 AM"
"Murano Glass Leaf on cord",4,"$22.00","5/22/13 03:54 PM","7/22/11 11:06 AM"
"Kids Mat",0,"$18.00","5/24/13 11:07 AM","1/03/13 10:50 AM"
"Clippy Keepers~Storage ware for you hair flair~",5,"$17.00","5/31/13 11:53 AM","8/04/11 03:47 PM"
"TM TrainerMat: Special Edition for Yoga with DVD",1,"$30.00","6/08/13 10:29 AM","6/13/12 03:44 PM"
"Yoga Straps",4,"$10.00","6/10/13 06:43 PM","5/07/12 05:50 PM"
"Kids Mat",0,"$18.00","6/14/13 12:57 PM","1/03/13 10:51 AM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","6/15/13 08:57 AM","7/06/11 03:46 PM"
"Fitness Ball 65cm",9,"$18.00","6/20/13 05:06 PM","3/12/12 05:12 PM"
"Foam Block",6,"$10.00","6/20/13 05:12 PM","6/20/13 05:12 PM"
"1/4 Inch Extra Long Mat",2,"$25.00","6/20/13 05:21 PM","4/02/13 02:29 PM"
"1/4 Inch Extra Long Mat",2,"$25.00","6/20/13 05:21 PM","4/02/13 02:25 PM"
"Junior Rectangular Bolster",3,"$28.00","6/20/13 05:44 PM","6/20/13 05:44 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","6/30/13 10:58 AM","7/06/11 03:46 PM"
"Traditional Mexican Blanket",5,"$22.00","6/30/13 10:58 AM","7/22/11 11:12 AM"
"Large  Rectangle BOLSTERS",0,"$40.00","7/12/13 12:59 PM","5/04/12 05:51 PM"
"FF ""Love, Faith, Hope"" bracelet on cafe' leather",0,"$12.00","7/12/13 01:17 PM","10/27/11 03:59 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","7/24/13 07:25 PM","7/06/11 03:46 PM"
"UK Sticker: Universe Knows-Be In Gratitude",99,"$3.00","8/01/13 07:37 AM","7/26/11 02:30 PM"
"Sarah's Wicked Witchazel- Mat Cleaner",0,"$9.00","8/01/13 04:16 PM","8/01/13 04:16 PM"
"UK Sticker: Universe Knows-Cherish the journey",99,"$3.00","8/11/13 12:27 PM","7/26/11 02:35 PM"
"UK Sticker: Universe Knows-We're all Connected",98,"$3.00","8/11/13 12:27 PM","7/26/11 02:30 PM"
"UK Sticker: Universe Knows-Let Abundance Flow",99,"$3.00","8/11/13 12:27 PM","7/26/11 02:34 PM"
"YR Yoga Rat TPE Mat: Skeleton",-1,"$45.00","8/13/13 05:44 PM","7/06/11 12:01 PM"
"Pravara Natural Rubber Yoga Mat",3,"$50.00","8/16/13 07:03 PM","8/08/12 03:43 PM"
"UK Universe Knows Shirt- We're all connected",4,"$14.00","8/25/13 06:20 PM","7/21/11 02:54 PM"
"LM Little Moon Essentials- Clear Mind Theramist",0,"$7.00","9/08/13 12:30 PM","7/26/11 03:25 PM"
"8 Foot D-ring Buckle Yoga Strap",0,"$12.00","9/08/13 12:30 PM","2/13/12 05:34 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","9/08/13 12:32 PM","7/06/11 03:47 PM"
"My Stuff oversize mat bag",0,"$18.00","9/09/13 05:19 PM","7/22/11 11:00 AM"
"1/4 Inch Extra Long Mat",1,"$25.00","9/10/13 04:48 PM","4/02/13 02:24 PM"
"AL ""Goddess"" Room Spray",3,"$9.00","9/12/13 12:51 PM","7/22/11 10:54 AM"
"LM Little Moon Essentials- Small Asana Kisser for Sore Muscles",1,"$5.00","9/12/13 12:51 PM","7/26/11 03:13 PM"
"Chinese Zodiac Cuff Bracelet",10,"$10.00","9/22/13 12:25 PM","7/22/11 11:05 AM"
"Cork Block",0,"$17.00","10/02/13 05:20 PM","4/09/12 04:05 PM"
"TM TrainerMat: Illustrated Yoga Mat",1,"$20.00","10/06/13 12:16 PM","6/13/12 03:50 PM"
"Foot Shape Pumice",8,"$1.00","10/09/13 05:21 PM","8/02/11 02:15 PM"
"Type A Lavender Scented Silky Eye Pillows",0,"$12.00","10/20/13 11:01 AM","7/22/11 11:16 AM"
"AL Lavendar Shower Gel",0,"$10.00","11/12/13 07:32 AM","7/22/11 10:55 AM"
"UK Universe Knows Water Bottles",5,"$14.50","11/16/13 11:59 AM","9/09/11 10:04 PM"
"Meditative Third Eye Pillow",-1,"$3.00","11/17/13 11:02 AM","4/18/12 08:57 PM"
"Ball Pump",0,"$3.00","11/19/13 02:25 PM","11/19/13 02:25 PM"
"CF I Read Banned Books Bracelet",4,"$20.00","12/07/13 10:32 AM","7/19/11 04:25 PM"
"UK Sticker: Universe Knows-Live with Passion",97,"$3.00","12/13/13 01:03 PM","7/26/11 02:33 PM"
"Dharma Bath Salts",2,"$15.00","12/14/13 10:36 AM","7/19/11 02:43 PM"
"FF ""Survivor"" Ring",2,"$26.00","12/14/13 10:36 AM","10/27/11 04:08 PM"
"AL Buddha Diffuser",2,"$12.00","12/14/13 10:36 AM","7/22/11 10:54 AM"
"SFBSC Rose Garden Spa Therapy",2,"$10.00","12/14/13 12:00 PM","7/22/11 10:57 AM"
"SFBSC Rainforest Spa Therapy Bath",0,"$10.00","12/15/13 09:49 AM","7/22/11 10:56 AM"
"TS T-Spheres Aromatherapy Infused Massage Balls-INNER BEAUTY",1,"$30.00","12/15/13 09:49 AM","8/02/11 12:55 PM"
"TS T-Spheres Aromatherapy Infused Massage Balls-PEACE & QUIET",1,"$30.00","12/15/13 11:14 AM","8/02/11 02:11 PM"
"10 Foot D-ring buckle Yoga Strap",1,"$12.00","12/15/13 11:14 AM","1/03/13 11:00 AM"
"TS Tiny T-Spheres Aromatherapy Infused Massage Balls-PEACE & QUIET",0,"$20.00","12/15/13 11:14 AM","8/02/11 02:12 PM"
"UK Universe Knows Shirt- be the change",1,"$14.00","12/28/13 01:42 PM","7/14/11 05:37 PM"
"UK Universe Knows Shirt- Cherish the Journey",1,"$14.00","12/28/13 01:44 PM","7/28/11 12:17 PM"
"UK Universe Knows Shirt- Notice the messages",6,"$14.00","12/28/13 01:48 PM","7/21/11 02:57 PM"
"UK Universe Knows Shirt- Courage to Risk",1,"$14.00","12/28/13 01:49 PM","7/28/11 12:12 PM"
"UK Universe Knows Shirt- Give yourself hugs",1,"$14.00","12/28/13 01:50 PM","7/21/11 02:50 PM"
"UK Universe Knows Shirt- Lead by Example",7,"$14.00","12/28/13 01:51 PM","7/21/11 02:48 PM"
"UK Universe Knows Plus Sized Tunic",8,"$30.00","1/03/14 10:41 AM","9/09/11 10:03 PM"
"Type A Yogi Mug",4,"$16.00","1/03/14 10:41 AM","3/04/13 04:03 PM"
"Original Yoga by Richard Rosen",1,"$24.95","1/03/14 10:41 AM","7/10/12 04:34 PM"
"VSO Vermont Soap Organics Yoga Mat Cleaner Spray 4oz",5,"$7.00","1/06/14 03:12 PM","8/02/11 03:05 PM"
"Meditative Third Eye Bags by Baker Boutique",1,"$3.00","1/07/14 05:27 PM","3/29/12 05:37 PM"
"YR Yoga Rat Non-Toxic Mat",-1,"$25.00","1/08/14 04:50 PM","7/06/11 03:47 PM"
"FF ""Celebrate small victories"" bracelet on cafe' leather by Far Fetched",0,"$12.00","1/18/14 10:55 AM","10/27/11 04:03 PM"
"CF I Read Banned Books Necklace",1,"$25.00","1/18/14 10:55 AM","7/19/11 04:27 PM"
"FF ""Remember to play"" bracelet on cafe' leather",1,"$12.00","1/18/14 10:55 AM","10/27/11 03:34 PM"
"FF ""Believe in yourself"" bracelet on cafe' leather by Far Fetched",-1,"$12.00","1/18/14 10:55 AM","10/27/11 04:02 PM"
"Peace Mini Flag",1,"$10.00","1/18/14 10:55 AM","7/19/11 03:23 PM"
"AL Rosemary & Mint Terracotta",-1,"$12.00","1/18/14 10:55 AM","7/22/11 10:58 AM"
"YR Yoga Rat TPE Mat: Skeleton",0,"$45.00","2/02/14 11:03 AM","7/06/11 12:01 PM"
